Date,Open,High,Low,Close,Adj Close,Volume
1996-08-15,2842.959961,2842.959961,2842.959961,2842.959961,2842.959961,0
1996-08-16,2840.669922,2840.669922,2840.669922,2840.669922,2840.669922,0
1996-08-19,2834.669922,2834.669922,2834.669922,2834.669922,2834.669922,0
1996-08-20,2834.590088,2834.590088,2834.590088,2834.590088,2834.590088,0
1996-08-21,2822.989990,2822.989990,2822.989990,2822.989990,2822.989990,0
1996-08-22,2828.560059,2828.560059,2828.560059,2828.560059,2828.560059,0
1996-08-23,2831.620117,2831.620117,2831.620117,2831.620117,2831.620117,0
1996-08-26,2833.110107,2833.110107,2833.110107,2833.110107,2833.110107,0
1996-08-27,2835.439941,2835.439941,2835.439941,2835.439941,2835.439941,0
1996-08-28,2833.870117,2833.870117,2833.870117,2833.870117,2833.870117,0
1996-08-29,2827.310059,2827.310059,2827.310059,2827.310059,2827.310059,0
1996-08-30,2804.750000,2804.750000,2804.750000,2804.750000,2804.750000,0
1996-09-02,2803.610107,2803.610107,2803.610107,2803.610107,2803.610107,0
1996-09-03,2776.209961,2776.209961,2776.209961,2776.209961,2776.209961,0
1996-09-04,2794.699951,2794.699951,2794.699951,2794.699951,2794.699951,0
1996-09-05,2803.429932,2803.429932,2803.429932,2803.429932,2803.429932,0
1996-09-06,2805.500000,2805.500000,2805.500000,2805.500000,2805.500000,0
1996-09-09,2828.969971,2828.969971,2828.969971,2828.969971,2828.969971,0
1996-09-10,2840.340088,2840.340088,2840.340088,2840.340088,2840.340088,0
1996-09-11,2844.239990,2844.239990,2844.239990,2844.239990,2844.239990,0
1996-09-12,2853.860107,2853.860107,2853.860107,2853.860107,2853.860107,0
1996-09-13,2865.010010,2870.530029,2864.310059,2870.300049,2870.300049,0
1996-09-16,2886.729980,2890.830078,2884.939941,2890.830078,2890.830078,0
1996-09-17,2885.139893,2887.449951,2883.899902,2886.850098,2886.850098,0
1996-09-18,2884.189941,2884.250000,2882.449951,2883.110107,2883.110107,0
1996-09-19,2880.370117,2880.370117,2880.370117,2880.370117,2880.370117,0
1996-09-20,2873.879883,2877.300049,2872.379883,2874.689941,2874.689941,0
1996-09-23,2872.360107,2872.360107,2872.360107,2872.360107,2872.360107,0
1996-09-24,2882.780029,2885.979980,2881.209961,2885.550049,2885.550049,0
1996-09-25,2893.300049,2899.899902,2893.300049,2899.629883,2899.629883,0
1996-09-26,2902.409912,2914.719971,2899.889893,2911.739990,2911.739990,0
1996-09-27,2910.179932,2912.750000,2909.320068,2911.350098,2911.350098,0
1996-09-30,2919.909912,2921.219971,2919.729980,2921.219971,2921.219971,0
1996-10-01,2945.139893,2945.139893,2945.139893,2945.139893,2945.139893,0
1996-10-02,2961.540039,2966.540039,2961.540039,2962.459961,2962.459961,0
1996-10-03,null,null,null,null,null,null
1996-10-04,2975.040039,2977.370117,2974.290039,2977.149902,2977.149902,0
1996-10-07,2977.590088,2980.810059,2976.649902,2980.250000,2980.250000,0
1996-10-08,2979.419922,2992.580078,2978.300049,2990.989990,2990.989990,0
1996-10-09,2992.229980,2997.110107,2990.949951,2990.949951,2990.949951,0
1996-10-10,2988.649902,2990.270020,2987.739990,2989.570068,2989.570068,0
1996-10-11,2992.469971,2992.469971,2988.399902,2988.399902,2988.399902,0
1996-10-14,2987.370117,2987.729980,2985.879883,2987.560059,2987.560059,0
1996-10-15,3004.929932,3004.929932,2996.250000,2997.590088,2997.590088,0
1996-10-16,2996.739990,3005.100098,2996.669922,2998.209961,2998.209961,0
1996-10-17,2989.209961,2989.250000,2985.010010,2986.209961,2986.209961,0
1996-10-18,2988.750000,2988.750000,2986.860107,2988.219971,2988.219971,0
1996-10-21,2978.719971,2978.969971,2967.750000,2972.959961,2972.959961,0
1996-10-22,2965.939941,2967.800049,2962.639893,2965.379883,2965.379883,0
1996-10-23,2955.760010,2957.020020,2949.709961,2954.750000,2954.750000,0
